p_row_id,m_row_id,title_p,title_m,platform_p,platform_m,release_year_p,release_year_m,developer_p,developer_m,similarity,label,,,,,,,,,,,,,,
playtime_2046,metacritic_6909,BloodRayne: Betrayal,BloodRayne: Betrayal,Xbox 360,Xbox 360,2011,2011,WayForward Technologies,Majesco Games,0.891666667,1,,,,,,,,,,,,,,
playtime_20518,metacritic_5499,Warp,Warp,PC,PC,2012,2012,Trapdoor,Electronic Arts,0.876086957,1,,,,,,,,,,,,,,
playtime_21727,metacritic_7710,Leviathan: Warships,Leviathan: Warships,PC,PC,2013,2013,Pieces Interactive,Paradox Interactive,0.963793103,1,,,,,,,,,,,,,,
playtime_22924,metacritic_299,Europa Universalis II,Europa Universalis II,PC,PC,2001,2001,Paradox Development Studio,Strategy First,0.8875,1,,,,,,,,,,,,,,
playtime_23655,metacritic_357,The Ant Bully,Bully,PlayStation 2,PlayStation 2,2006,2006,Artificial Mind and Movement,Rockstar Games,0.885714286,0,,,,,,,,,,,,,,
playtime_23754,metacritic_6022,JoJo's Bizarre Adventure: All-Star Battle,JoJo's Bizarre Adventure All-Star Battle,PlayStation 3,PlayStation 3,2014,2014,CyberConnect2,Namco Bandai Games America,0.882905983,1,,,,,,,,,,,,,,
playtime_2376,metacritic_13963,Bullet Witch,Bullet Witch,Xbox 360,Xbox 360,2007,2007,Cavia,Atari,0.91,1,,,,,,,,,,,,,,
playtime_24663,metacritic_9878,Heroes of the Pacific,Heroes of the Pacific,PlayStation 2,PlayStation 2,2005,2005,Transmission Games,Ubisoft,0.886,1,,,,,,,,,,,,,,
playtime_24800,metacritic_7370,One Piece: Grand Battle!(2005),One Piece: Grand Battle,PlayStation 2,PlayStation 2,2005,2005,Ganbarion,Bandai,0.870566038,1,,,,,,,,,,,,,,
playtime_25235,metacritic_12542,Monsters vs. Aliens,Monsters vs. Aliens,PlayStation 3,PlayStation 3,2009,2009,Beenox,Activision,0.86875,1,,,,,,,,,,,,,,
playtime_25261,metacritic_6702,Close Combat: First to Fight,Close Combat: First to Fight,PC,PC,2005,2005,Destineer,2K Games,0.885294118,1,,,,,,,,,,,,,,
playtime_2573,metacritic_16,Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare,Xbox 360,Xbox 360,2007,2007,Infinity Ward,Activision,0.876086957,1,,,,,,,,,,,,,,
playtime_26073,metacritic_12564,Dragon Ball Z: Battle of Z,Dragon Ball Z: Battle of Z,PlayStation Vita,PlayStation Vita,2014,2014,Artdink,Namco Bandai Games,0.874,1,,,,,,,,,,,,,,
playtime_26215,metacritic_1225,OlliOlli,OlliOlli,PlayStation Vita,PlayStation Vita,2014,2014,Roll7,roll7,0.97,1,,,,,,,,,,,,,,
playtime_27462,metacritic_13265,My Street,My Street,PlayStation 2,PlayStation 2,2003,2003,Idol Minds,SCEA,0.85,1,,,,,,,,,,,,,,
playtime_28398,metacritic_10947,Entwined,Entwined,PlayStation 4,PlayStation 4,2014,2014,Pixelopus,SCEA,0.85,1,,,,,,,,,,,,,,
playtime_2840,metacritic_3362,Catherine(2011),Catherine,Xbox 360,Xbox 360,2011,2011,Atlus,Atlus,0.8875,1,,,,,,,,,,,,,,
playtime_29947,metacritic_5559,The Raven: Legacy of a Master Thief,The Raven: Legacy of a Master Thief,PC,PC,2013,2013,Nordic Games,The Adventure Company,0.877272727,1,,,,,,,,,,,,,,
playtime_29976,metacritic_8861,Naruto Shippuden: Ultimate Ninja Storm Revolution,Naruto Shippuden: Ultimate Ninja Storm Revolution,PlayStation 3,PlayStation 3,2014,2014,CyberConnect2,Bandai Namco Games,0.879032258,1,,,,,,,,,,,,,,
playtime_30866,metacritic_14506,Bomberman: Act Zero,Bomberman: Act Zero,Xbox 360,Xbox 360,2006,2006,Hudson Soft,Konami,0.885294118,1,,,,,,,,,,,,,,
playtime_32783,metacritic_5305,Wolfenstein: The Old Blood,Wolfenstein: The Old Blood,PlayStation 4,PlayStation 4,2015,2015,Machine Games,Bethesda Softworks,0.879032258,1,,,,,,,,,,,,,,
playtime_3299,metacritic_10934,Commandos: Strike Force,Commandos Strike Force,PlayStation 2,PlayStation 2,2006,2006,Pyro Studios,Eidos Interactive,0.88137931,0,,,,,,,,,,,,,,
playtime_34364,metacritic_5183,Red Dead Redemption 2,Red Dead Redemption 2,Xbox One,Xbox One,2018,2018,Rockstar Studios,Rockstar Games,0.959090909,1,,,,,,,,,,,,,,
playtime_35646,metacritic_4622,NBA 2K16,NBA 2K16,Xbox One,Xbox One,2015,2015,Visual Concepts,Take-Two Interactive,0.892857143,1,,,,,,,,,,,,,,
playtime_35728,metacritic_4113,Battle Chasers: Nightwar,Battle Chasers: Nightwar,Xbox One,Xbox One,2017,2017,Airship Syndicate,Nordic Games Publishing,0.8875,1,,,,,,,,,,,,,,
playtime_3604,metacritic_13635,Cross Edge,Cross Edge,PlayStation 3,PlayStation 3,2009,2009,Idea Factory,NIS America,0.889130435,1,,,,,,,,,,,,,,
playtime_36876,metacritic_6774,The Fancy Pants Adventures,The Fancy Pants Adventures,Xbox 360,Xbox 360,2011,2011,Over the Top Games,Electronic Arts,0.895454545,1,,,,,,,,,,,,,,
playtime_3921,metacritic_3220,Darksiders II,Darksiders II,PC,PC,2012,2012,Vigil Games,THQ,0.85,1,,,,,,,,,,,,,,
playtime_40093,metacritic_6303,The Technomancer,The Technomancer,Xbox One,Xbox One,2016,2016,Spiders,Focus Home Interactive,0.870689655,1,,,,,,,,,,,,,,
playtime_4019,metacritic_8148,Dead Island,Dead Island,PlayStation 3,PlayStation 3,2011,2011,Techland,Deep Silver,0.881578947,1,,,,,,,,,,,,,,
playtime_40405,metacritic_7704,Human: Fall Flat,Human: Fall Flat,PC,PC,2016,2016,No Brakes Games,Curve Digital,0.892857143,1,,,,,,,,,,,,,,
playtime_40503,metacritic_1319,Overcooked,Overcooked!,PlayStation 4,PlayStation 4,2016,2016,Ghost Town Games,Team17,0.855844156,0,,,,,,,,,,,,,,
playtime_41189,metacritic_9558,Road To Ballhalla,Road to Ballhalla,PC,PC,2016,2016,Torched Hill,tinyBuild,0.866386555,1,,,,,,,,,,,,,,
playtime_41261,metacritic_6770,Lichtspeer,Lichtspeer,PlayStation 4,PlayStation 4,2016,2016,Lichthund,Crunching Koalas,0.886,1,,,,,,,,,,,,,,
playtime_4158,metacritic_2066,DeathSpank: Thongs of Virtue,DeathSpank: Thongs of Virtue,PlayStation 3,PlayStation 3,2010,2010,Hothead Games,EA Partners,0.8875,1,,,,,,,,,,,,,,
playtime_41916,metacritic_534,BlazBlue: Central Fiction,BlazBlue: Central Fiction,PlayStation 4,PlayStation 4,2016,2016,Arc System Works,Aksys Games,0.905555556,1,,,,,,,,,,,,,,
playtime_42739,metacritic_4202,Kingdom Hearts χ Back Cover,Kingdom Hearts HD I.5 + II.5 Remix,PlayStation 4,PlayStation 4,2017,2017,Square Enix,Square Enix,0.857317073,0,,,,,,,,,,,,,,
playtime_42782,metacritic_14342,Memoranda,Memoranda,PC,PC,2017,2017,Bit Byterz,Digital Dragon,0.9,1,,,,,,,,,,,,,,
playtime_43070,metacritic_4688,Destiny 2,Destiny 2,Xbox One,Xbox One,2017,2017,Bungie,Activision,0.86875,1,,,,,,,,,,,,,,
playtime_43463,metacritic_11553,FlatOut 4: Total Insanity,FlatOut 4: Total Insanity,PlayStation 4,PlayStation 4,2017,2017,Kylotonn,Strategy First,0.863636364,1,,,,,,,,,,,,,,
playtime_43666,metacritic_8702,The Surge,The Surge,PlayStation 4,PlayStation 4,2017,2017,Deck13,Focus Home Interactive,0.871428571,1,,,,,,,,,,,,,,
playtime_43667,metacritic_9208,The Surge,The Surge,Xbox One,Xbox One,2017,2017,Deck13,Focus Home Interactive,0.871428571,1,,,,,,,,,,,,,,
playtime_43760,metacritic_9817,Forgotton Anne,Forgotton Anne,PC,PC,2018,2018,ThroughLine Games,Square Enix,0.882142857,1,,,,,,,,,,,,,,
playtime_44444,metacritic_6355,The Long Journey Home,The Long Journey Home,PC,PC,2017,2017,Daedalic Studio West,Daedalic Entertainment,0.942857143,1,,,,,,,,,,,,,,
playtime_44556,metacritic_10438,The Crew 2,The Crew 2,PlayStation 4,PlayStation 4,2018,2018,Ivory Tower,Ubisoft,0.866666667,1,,,,,,,,,,,,,,
playtime_44559,metacritic_239,Ori and the Will of the Wisps,Ori and the Will of the Wisps,PC,PC,2020,2020,Moon Studios,Microsoft Game Studios,0.960526316,1,,,,,,,,,,,,,,
playtime_44597,metacritic_9732,Code Vein,Code Vein,Xbox One,Xbox One,2019,2019,Bandai Namco Studios,Bandai Namco Games,0.97,1,,,,,,,,,,,,,,
playtime_45293,metacritic_7527,Sudden Strike 4,Sudden Strike 4,PC,PC,2017,2017,Kite Games,Kalypso,0.885294118,1,,,,,,,,,,,,,,
playtime_45451,metacritic_4751,Dragon Ball FighterZ,Dragon Ball FighterZ,PlayStation 4,PlayStation 4,2018,2018,Arc System Works,Bandai Namco Games,0.885294118,1,,,,,,,,,,,,,,
playtime_4618,metacritic_10669,Divinity II: Ego Draconis,Divinity II: Ego Draconis,Xbox 360,Xbox 360,2010,2010,Larian Studios,cdv Software,0.896153846,1,,,,,,,,,,,,,,
playtime_4638,metacritic_4560,DmC: Devil May Cry,DmC: Devil May Cry,Xbox 360,Xbox 360,2013,2013,Ninja Theory,Capcom,0.883333333,1,,,,,,,,,,,,,,
playtime_46993,metacritic_7307,Pathologic 2,Pathologic 2,PC,PC,2019,2019,Ice-Pick Lodge,tinyBuild,0.876086957,1,,,,,,,,,,,,,,
playtime_47890,metacritic_9709,Resident Evil 7: Biohazard - Gold Edition,Resident Evil 7: biohazard - End of Zoe,PlayStation 4,PlayStation 4,2017,2017,Capcom,Capcom,0.87625,1,,,,,,,,,,,,,,
playtime_48116,metacritic_8038,The Walking Dead Collection: The Telltale Series,The Walking Dead: The Telltale Series - A New Frontier Episode 4: Thicker than Water,PC,PC,2017,2017,Telltale Games,Telltale Games,0.892253521,0,,,,,,,,,,,,,,
playtime_48117,metacritic_7282,The Walking Dead Collection: The Telltale Series,The Walking Dead: The Telltale Series - A New Frontier Episode 3: Above the Law,PlayStation 4,PlayStation 4,2017,2017,Telltale Games,Telltale Games,0.892253521,0,,,,,,,,,,,,,,
playtime_48905,metacritic_5583,Atelier Lydie & Suelle: The Alchemists and The Mysterious Paintings,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,PlayStation 4,PlayStation 4,2018,2018,Gust,NIS America,0.85,1,,,,,,,,,,,,,,
playtime_49048,metacritic_3114,Laser League,Laser League,Xbox One,Xbox One,2018,2018,Roll7,505 Games,0.85,1,,,,,,,,,,,,,,
playtime_49073,metacritic_3480,Spyro Reignited Trilogy,Spyro Reignited Trilogy,PlayStation 4,PlayStation 4,2018,2018,Toys for Bob,Activision,0.877272727,1,,,,,,,,,,,,,,
playtime_49814,metacritic_9272,Moonlighter,Moonlighter,PC,PC,2018,2018,Digital Sun,11 bit studios,0.898,1,,,,,,,,,,,,,,
playtime_49819,metacritic_6713,My Memory of Us,My Memory of Us,PlayStation 4,PlayStation 4,2018,2018,Juggler Games,IMGN.PRO,0.864285714,1,,,,,,,,,,,,,,
playtime_50306,metacritic_11144,Jump Force,Jump Force,PC,PC,2019,2019,Spike Chunsoft,Bandai Namco Games,0.878125,1,,,,,,,,,,,,,,
playtime_51164,metacritic_5199,Mega Man X Legacy Collection 2,Mega Man 11,Xbox One,Xbox One,2018,2018,Capcom,Capcom,0.928947368,0,,,,,,,,,,,,,,
playtime_5124,metacritic_9642,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,PC,PC,2006,2006,Funcom,Aspyr,0.85,1,,,,,,,,,,,,,,
playtime_51559,metacritic_12416,Punch Line,Punch Line,PlayStation 4,PlayStation 4,2018,2018,5pb.,PQube,0.883333333,1,,,,,,,,,,,,,,
playtime_51598,metacritic_5766,Lamplight City,Lamplight City,PC,PC,2018,2018,Grundislav Games,Application Systems Heidelberg,0.876086957,1,,,,,,,,,,,,,,
playtime_52886,metacritic_6805,London Detective Mysteria,London Detective Mysteria,PlayStation Vita,PlayStation Vita,2018,2018,Karin Entertainment,XSEED Games,0.89,1,,,,,,,,,,,,,,
playtime_53309,metacritic_12628,V-Rally 4,V-Rally 4,PlayStation 4,PlayStation 4,2018,2018,KT Racing,Bigben Interactive,0.894444444,1,,,,,,,,,,,,,,
playtime_5334,metacritic_13093,Dynasty Warriors 6,Dynasty Warriors 6,PlayStation 2,PlayStation 2,2008,2008,Omega Force,Koei,0.89,1,,,,,,,,,,,,,,
playtime_53973,metacritic_8125,God Eater 3,God Eater 3,PC,PC,2019,2019,BANDAI NAMCO Studios,Bandai Namco Games,0.881578947,1,,,,,,,,,,,,,,
playtime_54484,metacritic_13531,Depth of Extinction,Extinction,PC,PC,2018,2018,HOF Studios,Modus Games,0.890909091,0,,,,,,,,,,,,,,
playtime_55214,metacritic_6975,American Fugitive,American Fugitive,Xbox One,Xbox One,2019,2019,Fallen Tree Games,Curve Digital,0.88,1,,,,,,,,,,,,,,
playtime_5549,metacritic_830,Enslaved: Odyssey to the West,Enslaved: Odyssey to the West,Xbox 360,Xbox 360,2010,2010,Ninja Theory,Namco Bandai Games,0.9,1,,,,,,,,,,,,,,
playtime_56056,metacritic_10554,Contra Anniversary Collection,Arcade Classics Anniversary Collection,PlayStation 4,PlayStation 4,2019,2019,Konami Digital Entertainment,Konami,0.938235294,0,,,,,,,,,,,,,,
playtime_56576,metacritic_5492,The Walking Dead: The Telltale Definitive Series,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,PlayStation 4,PlayStation 4,2019,2019,Skybound Games,Telltale Games,0.864661654,0,,,,,,,,,,,,,,
playtime_57084,metacritic_13994,Ice Age: Scrat's Nutty Adventure,Ice Age: Scrat's Nutty Adventure,PlayStation 4,PlayStation 4,2019,2019,Just Add Water,Outright Games,0.892857143,1,,,,,,,,,,,,,,
playtime_57145,metacritic_1539,NHL 20,NHL 20,PlayStation 4,PlayStation 4,2019,2019,EA Vancouver,Electronic Arts,0.894444444,1,,,,,,,,,,,,,,
playtime_57590,metacritic_6310,Espire 1: VR Operative,Espire 1: VR Operative,PC,PC,2019,2019,Digital Lode,Tripwire Interactive,0.8875,1,,,,,,,,,,,,,,
playtime_5818,metacritic_12810,Fable II,Fable II Pub Games,Xbox 360,Xbox 360,2008,2008,Lionhead Studios,Microsoft Game Studios,0.941304348,0,,,,,,,,,,,,,,
playtime_5862,metacritic_4210,Fallout: New Vegas,Fallout: New Vegas,PC,PC,2010,2010,Obsidian Entertainment,Bethesda Softworks,0.895,1,,,,,,,,,,,,,,
playtime_59586,metacritic_3685,F1 2001,F1 2001,PlayStation 2,PlayStation 2,2001,2001,EA Sports,Electronic Arts,0.9,1,,,,,,,,,,,,,,
playtime_61023,metacritic_915,SnowRunner,SnowRunner,PlayStation 4,PlayStation 4,2020,2020,Saber Interactive,Focus Home Interactive,0.967857143,1,,,,,,,,,,,,,,
playtime_61176,metacritic_7030,Kill It With Fire: IGNITION,Kill It With Fire,PC,PC,2020,2020,Casey Donnellan Games,Casey Donnellan Games LLC,0.922413793,1,,,,,,,,,,,,,,
playtime_6131,metacritic_5001,FIFA 13,FIFA Soccer 13,Xbox 360,Xbox 360,2012,2012,EA Canada,EA Sports,0.904545455,1,,,,,,,,,,,,,,
playtime_61469,metacritic_7266,AO Tennis 2,AO Tennis 2,PlayStation 4,PlayStation 4,2020,2020,Big Ant Studios,Bigben Interactive,0.904545455,1,,,,,,,,,,,,,,
playtime_61573,metacritic_13030,PlayStation Move Ape Escape,PlayStation Move Ape Escape,PlayStation 3,PlayStation 3,2011,2011,SIE Japan Studio,SCEA,0.88,1,,,,,,,,,,,,,,
playtime_62178,metacritic_315,Hitman 3,Hitman 3,PC,PC,2021,2021,IO Interactive,Io Interactive,0.989285714,1,,,,,,,,,,,,,,
playtime_62421,metacritic_9500,Bugsnax,Bugsnax,PlayStation 5,PlayStation 5,2020,2020,Young Horses,"Young Horses, Inc",0.974137931,1,,,,,,,,,,,,,,
playtime_63435,metacritic_14395,Fast & Furious: Crossroads,Fast & Furious Crossroads,PlayStation 4,PlayStation 4,2020,2020,Slightly Mad Studios,Bandai Namco Games,0.880650155,1,,,,,,,,,,,,,,
playtime_64421,metacritic_6887,The Falconeer,The Falconeer,PC,PC,2020,2020,Tomas Sala,Wired Productions,0.872222222,1,,,,,,,,,,,,,,
playtime_6640,metacritic_711,Frequency,Frequency,PlayStation 2,PlayStation 2,2001,2001,Harmonix Music Systems,SCEA,0.861538462,1,,,,,,,,,,,,,,
playtime_66988,metacritic_13848,Fallen Legion: Revenants,Fallen Legion: Revenants,PlayStation 4,PlayStation 4,2021,2021,YummyYummyTummy,NIS America,0.861538462,1,,,,,,,,,,,,,,
playtime_6748,metacritic_12936,Fuzion Frenzy 2,Fuzion Frenzy 2,Xbox 360,Xbox 360,2007,2007,Hudson Soft,Microsoft Game Studios,0.895454545,1,,,,,,,,,,,,,,
playtime_68188,metacritic_14148,Gigantosaurus: The Game,Gigantosaurus: The Game,Xbox One,Xbox One,2020,2020,WildSphere,Outright Games,0.875,1,,,,,,,,,,,,,,
playtime_70990,metacritic_12233,Off-Road Redneck Racing,Off-Road Redneck Racing,PC,PC,2001,2001,Rage,Interplay,0.873076923,1,,,,,,,,,,,,,,
playtime_724,metacritic_4373,Amnesia: The Dark Descent,Amnesia: The Dark Descent,PC,PC,2010,2010,Frictional Games,THQ,0.85,1,,,,,,,,,,,,,,
playtime_7385,metacritic_1534,Grandia III,Grandia III,PlayStation 2,PlayStation 2,2006,2006,Game Arts,Square Enix,0.895,1,,,,,,,,,,,,,,
playtime_76735,metacritic_10328,Dustoff Z,Dustoff Z,Xbox One,Xbox One,2020,2020,Invictus Games,Zordix,0.865,1,,,,,,,,,,,,,,
playtime_8000,metacritic_1200,Hexic HD,Hexic HD,Xbox 360,Xbox 360,2005,2005,Carbonated Games,Microsoft Game Studios,0.897368421,1,,,,,,,,,,,,,,
playtime_879,metacritic_3525,Ape Escape 2,Ape Escape 2,PlayStation 2,PlayStation 2,2003,2003,Japan Studio,Ubisoft,0.881578947,1,,,,,,,,,,,,,,
playtime_8913,metacritic_11661,Kengo: Master of Bushido,Kengo: Master of Bushido,PlayStation 2,PlayStation 2,2001,2001,LightWeight,Crave,0.86875,1,,,,,,,,,,,,,,
playtime_9052,metacritic_4378,Kingdom Hearts,Kingdom Hearts,PlayStation 2,PlayStation 2,2002,2002,Square,SquareSoft,0.9625,1,,,,,,,,,,,,,,
playtime_9363,metacritic_13313,Legendary,Legendary,Xbox 360,Xbox 360,2008,2008,Spark Unlimited,Gamecock Media Group,0.892857143,1,,,,,,,,,,,,,,
playtime_9694,metacritic_14385,Looney Tunes: Acme Arsenal,Looney Tunes: Acme Arsenal,PlayStation 2,PlayStation 2,2007,2007,Redtribe,Warner Bros. Interactive Entertainment,0.882608696,1,,,,,,,,,,,,,,
playtime_9725,metacritic_11471,Lost Planet 3,Lost Planet 3,PlayStation 3,PlayStation 3,2013,2013,Spark Unlimited,Capcom,0.878571429,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
