id,title_provenance,title,platform_provenance,platform,release_year_provenance,release_year,developer_provenance,developer,publisher_provenance,publisher,genres_provenance,genres,global_sales_mil_provenance,global_sales_mil,main_story_hours_provenance,main_story_hour,main_plus_sides_hour_provenance,main_plus_sides_hour,completionist_hour_provenance,completionist_hour,critic_score_provenance,critic_score,esrb_rating_provenance,esrb_rating
playtime_12590+sales_2790+metacritic_4489,metacritic_4489,Persona 4 Arena,metacritic_4489,PlayStation 3,metacritic_4489,2012,metacritic_4489,Atlus,playtime_12590,Atlus,playtime_12590+sales_2790+metacritic_4489,"['Fighting', 'Visual Novel', 'Action', '2D']",sales_2790,0.74,playtime_12590,10.7,playtime_12590,19.57,playtime_12590,31.75,metacritic_4489,86,metacritic_4489,T
playtime_10385+sales_518+metacritic_9610,metacritic_9610,Medal of Honor,metacritic_9610,PlayStation 3,metacritic_9610,2010,metacritic_9610,Electronic Arts,playtime_10385,Electronic Arts,playtime_10385+sales_518+metacritic_9610,"['First-Person', 'Shooter', 'Action', 'Modern', 'Arcade']",sales_518,2.83,playtime_10385,5.03,playtime_10385,6.37,playtime_10385,11.18,metacritic_9610,75,metacritic_9610,M
playtime_13439+sales_2575+metacritic_9332,metacritic_9332,Prototype 2,metacritic_9332,Xbox 360,metacritic_9332,2012,playtime_13439,Radical Entertainment,playtime_13439,Activision,playtime_13439+sales_2575+metacritic_9332,"['Action', 'Adventure', 'Open World', 'Action Adventure', 'Sci-Fi', 'Open-World']",sales_2575,0.8,playtime_13439,10.17,playtime_13439,14.07,playtime_13439,19.73,metacritic_9332,74,metacritic_9332,M
playtime_19736+sales_5762+metacritic_10899,metacritic_10899,TRON: Evolution,metacritic_10899,Xbox 360,metacritic_10899,2010,metacritic_10899,Disney Interactive Studios,playtime_19736,Disney Interactive Studios,playtime_19736+sales_5762+metacritic_10899,"['Action', 'Adventure', 'General', 'Action Adventure', 'Fantasy']",sales_5762,0.31,playtime_19736,7.28,playtime_19736,10.47,playtime_19736,15.82,metacritic_10899,58,metacritic_10899,T
playtime_4218+sales_5244+metacritic_11034,metacritic_11034,Defiance,metacritic_11034,PlayStation 3,metacritic_11034,2013,playtime_4218,Trion Worlds,playtime_4218,Trion Worlds,playtime_4218+sales_5244+metacritic_11034,"['Massively Multiplayer', 'Role-Playing', 'Shooter', 'Third-Person', 'Massively Multiplayer Online', 'Sci-Fi', 'Action', 'Arcade']",sales_5244,0.36,playtime_4218,,playtime_4218,,playtime_4218,,metacritic_11034,59,metacritic_11034,M
playtime_30357+sales_6335+metacritic_8960,metacritic_8960,Sherlock Holmes: Crimes & Punishments,metacritic_8960,PlayStation 4,metacritic_8960,2014,playtime_30357,Frogwares,playtime_30357,Focus Home Interactive,playtime_30357+sales_6335+metacritic_8960,"['Adventure', 'Puzzle', 'Third-Person', 'General']",sales_6335,0.27,playtime_30357,12.8,playtime_30357,15.02,playtime_30357,15.92,metacritic_8960,73,metacritic_8960,M
playtime_22493+sales_2530+metacritic_9263,metacritic_9263,Madden NFL 25,metacritic_9263,PlayStation 4,metacritic_9263,2013,playtime_22493,EA Tiburon,playtime_22493,EA Sports,playtime_22493+sales_2530+metacritic_9263,"['Sports', 'Traditional', 'Team', 'Football', 'Arcade', 'Sim']",sales_2530,0.82,playtime_22493,17.38,playtime_22493,104.05,playtime_22493,,metacritic_9263,74,metacritic_9263,E
playtime_18177+sales_3751+metacritic_11044,metacritic_11044,The Hobbit,metacritic_11044,PlayStation 2,metacritic_11044,2003,playtime_18177,Inevitable Entertainment,metacritic_11044,Vivendi Games,playtime_18177+sales_3751+metacritic_11044,"['Platform', 'Action Adventure', 'Fantasy']",sales_3751,0.54,playtime_18177,10.53,playtime_18177,17.05,playtime_18177,18,metacritic_11044,59,metacritic_11044,E
playtime_24726+sales_6827+metacritic_6822,playtime_24726,Skylanders: Swap Force,metacritic_6822,Nintendo 3DS,metacritic_6822,2013,metacritic_6822,Activision,playtime_24726,Activision,playtime_24726+sales_6827+metacritic_6822,"['Platform', 'Action', 'Platformer', '3D']",sales_6827,0.24,playtime_24726,9.95,playtime_24726,24.33,playtime_24726,32.7,metacritic_6822,68,metacritic_6822,E10+
playtime_39106+sales_13886+metacritic_2151,metacritic_2151,Hatsune Miku: Project Diva X,metacritic_2151,PlayStation 4,metacritic_2151,2016,metacritic_2151,Sega,playtime_39106,Sega,playtime_39106+sales_13886+metacritic_2151,"['Music/Rhythm', 'Misc', 'Action', 'Rhythm', 'Music']",sales_13886,0.04,playtime_39106,10.47,playtime_39106,33.67,playtime_39106,102.7,metacritic_2151,78,metacritic_2151,T
playtime_16480+sales_1095+metacritic_3956,metacritic_3956,Spy Hunter,metacritic_3956,PlayStation 2,metacritic_3956,2001,metacritic_3956,Midway,playtime_16480,Midway Games,playtime_16480+sales_1095+metacritic_3956,"['Action', 'Racing', 'Driving', 'Mission-based']",sales_1095,1.67,playtime_16480,4.98,playtime_16480,4.42,playtime_16480,,metacritic_3956,84,metacritic_3956,T
playtime_8041+sales_7201+metacritic_5952,metacritic_5952,Hitman HD Trilogy,metacritic_5952,PlayStation 3,metacritic_5952,2013,playtime_8041,IO Interactive,playtime_8041,Square Enix,playtime_8041+sales_7201+metacritic_5952,"['Action', 'Adventure', 'Tactical', 'Action Adventure', 'Modern', 'Miscellaneous', 'Compilation']",sales_7201,0.22,playtime_8041,24.87,playtime_8041,25,playtime_8041,25.03,metacritic_5952,71,metacritic_5952,M
